p,d,q,P,D,Q,s,AIC,BIC
1,1,1,1,1,1,24,428325.33217166725,428366.21003985405
1,1,1,0,1,1,24,429618.8278773797,429651.53017192916
1,1,0,1,1,1,24,429641.89562551293,429674.5980724172
0,1,1,1,1,1,24,430038.59509408777,430071.2973886372
1,1,0,0,1,1,24,431215.4439775593,431239.9708127375
0,1,1,0,1,1,24,431416.1769338279,431440.70365474
1,1,1,1,1,0,24,435964.51729314995,435997.2197400542
1,1,0,1,1,0,24,437346.18314787233,437370.70998305053
0,1,1,1,1,0,24,437954.256597396,437978.783546836
1,1,1,0,1,0,24,438408.8369185192,438433.36638061784
1,1,0,0,1,0,24,439510.7547001332,439527.1077509735
0,1,1,0,1,0,24,440290.2378991337,440306.5908738661
0,1,0,1,1,1,24,441126.4055974574,441150.93243263557
0,1,0,0,1,1,24,442601.7526470047,442618.1038704568
0,1,0,1,1,0,24,448774.16833974654,448790.5196393732
0,1,0,0,1,0,24,450368.83793916885,450377.01446458895
